year,pop,ppct,wpop,wpct,bpop,bpct
1820,123706,100.0,112820,91.2,10886,8.8
1830,202589,100.0,188613,93.1,13976,6.9
1840,312710,100.0,296352,94.8,16358,5.2
1850,515547,100.0,501732,97.3,13815,2.7
1860,813669,100.0,801088,98.5,12574,1.5
1870,942292,100.0,929199,98.6,13072,1.4
1880,1206299,100.0,1185843,98.3,19663,1.6
1890,1515301,100.0,1489627,98.3,23601,1.6
1900,1850093,100.0,1808968,97.8,36246,2.0
1910,2331542,100.0,2266578,97.2,60534,2.6
1920,2284103,100.0,2168906,95.0,109133,4.8
1930,1867312,100.0,1633329,87.5,224670,12.0
1940,1889924,100.0,1577625,83.5,298365,15.8
1950,1960101,100.0,1556599,79.4,384482,19.6
1960,1698281,100.0,1271822,74.9,397101,23.4
1970,1539233,100.0,1089302,70.8,380442,24.7
1980,1428285,100.0,841204,58.9,309854,21.7
1990,1487536,100.0,867227,58.3,326967,22.0
