date,wpop,wpct,bpop,bpct
1790,29661,89.5,3470,10.5
1800,54133,89.5,6382,10.5
1810,86550,89.8,9823,10.2
1820,112820,91.2,10886,8.8
1830,188613,93.1,13976,6.9
1840,296352,94.8,16358,5.2
1850,501732,97.3,13815,2.7
1860,801088,98.5,12574,1.5
1870,929199,98.6,13072,1.4
1880,1185843,98.3,19663,1.6
1890,1489627,98.3,23601,1.6
1900,3369898,98.0,60666,1.8
1910,4669162,98.0,91709,1.9
1920,5459463,97.1,152467,2.7
1930,6589377,95.08,327706,4.73
1940,6977501,93.59,458444,6.15
1950,7116441,90.17,747608,9.47
1960,6640662,85.33,1087931,13.98
1970,6048841,76.62,1668115,21.13
1980,4294075,60.72,1784337,25.23
1990,3827088,52.26,2102512,28.71
2000,3576385,44.66,2129762,26.59
2010,3597341,44.00,2088510,25.55
2020,3000945,34.09,1943645,22.08
